,,,
100,"Successful transaction. AIBMS: If ccAuthReply_processorResponse is 08 , you can accept the transaction if the customer provides you with identification.",C,
101,"The request is missing one or more required fields. Possible action: see the reply fields missingField_0 through missingField_N for which fields are missing. Resend the request with the complete information. For information about missing or invalid fields, see Getting Started with CyberSource Advanced for the Simple Order API.",C,
102,"One or more fields in the request contains invalid data. Possible action: see the reply fields invalidField_0 through invalidField_N for which fields are invalid. Resend the request with the correct information. For information about missing or invalid fields, see Getting Started with CyberSource Advanced for the Simple Order API.",C,
104,The merchant reference code for this authorization request matches the merchant reference code of another authorization request that you sent within the past 15 minutes. Possible action: Resend the request with a unique merchant reference code.,C,
110,"Only a partial amount was approved. Possible action: see ""Partial Authorizations,"" page 100.",C,
150,General system failure. See the documentation for your CyberSource client for information about handling retries in the case of system errors.,C,
151,"The request was received but there was a server timeout. This error does not include timeouts between the client and the server. Possible action: To avoid duplicating the transaction, do not resend the request until you have reviewed the transaction status in the Business Center. See the documentation for your CyberSource client for information about handling retries in the case of system errors.",C,
152,"The request was received, but a service did not finish running in time. Possible action: To avoid duplicating the transaction, do not resend the request until you have reviewed the transaction status in the Business Center. See the documentation for your CyberSource client for information about handling retries in the case of system errors.",C,
200,"The authorization request was approved by the issuing bank but declined by CyberSource because it did not pass the Address Verification System (AVS) check. Possible action: You can capture the authorization, but consider reviewing the order for the possibility of fraud.",C,
201,"The issuing bank has questions about the request. You do not receive an authorization code programmatically, but you might receive one verbally by calling the processor. Possible action: Call your processor to possibly receive a verbal authorization. For contact phone numbers, refer to your merchant bank information.",C,
202,Expired card. You might also receive this value if the expiration date you provided does not match the date the issuing bank has on file. Possible action: Request a different card or other form of payment.,C,
203,General decline of the card. No other information was provided by the issuing bank. Possible action: Request a different card or other form of payment.,C,
204,Insufficient funds in the account. Possible action: Request a different card or other form of payment.,C,
205,Stolen or lost card. Possible action: Review this transaction manually to ensure that you submitted the correct information.,C,
207,Issuing bank unavailable. Possible action: Wait a few minutes and resend the request.,C,
208,Inactive card or card not authorized for card-not-present transactions. Possible action: Request a different card or other form of payment.,C,
209,CVN did not match. Possible action: Request a different card or other form of payment.,C,
210,The card has reached the credit limit. Possible action: Request a different card or other form of payment.,C,
211,Invalid CVN. Possible action: Request a different card or other form of payment.,C,
221,The customer matched an entry on the processorâ€™s negative file. Possible action: Review the order and contact the payment processor.,C,
230,"The authorization request was approved by the issuing bank but declined by CyberSource because it did not pass the CVN check. Possible action: You can capture the authorization, but consider reviewing the order for the possibility of fraud.",C,
231,Invalid account number. Possible action: Request a different card or other form of payment.,C,
232,The card type is not accepted by the payment processor. Possible action: Contact your merchant bank to confirm that your account is set up to receive the card in question.,C,
233,General decline by the processor. Possible action: Request a different card or other form of payment.,C,
234,There is a problem with the information in your CyberSource account. Possible action: Do not resend the request. Contact CyberSource Customer Support to correct the information in your account.,C,
235,The requested capture amount exceeds the originally authorized amount. Possible action: Issue a new authorization and capture request for the new amount.,C,
236,Processor failure. Possible action: Wait a few minutes and resend the request.,C,
237,The authorization has already been reversed. Possible action: No action required.,C,
238,The authorization has already been captured. Possible action: No action required.,C,
239,The requested transaction amount must match the previous transaction amount. Possible action: Correct the amount and resend the request.,C,
240,"Possible action: Confirm that the card type correlates with the credit card number specified in the request, then resend the request.",C,
241,"The request ID is invalid. Possible action: Request a new authorization, and if successful, proceed with the capture.",C,
242,"You requested a capture, but there is no corresponding, unused authorization record. Occurs if there was not a previously successful authorization request or if the previously successful authorization has already been used by another capture request. Possible action: Request a new authorization, and if successful, proceed with the capture.",C,
243,The transaction has already been settled or reversed. Possible action: No action required.,C,
246,One of the following: The capture or credit is not voidable because the capture or credit information has already been submitted to your processor. - or -  You requested a void for a type of transaction that cannot be voided. Possible action: No action required.,C,
247,You requested a credit for a capture that was previously voided. Possible action: No action required.,C,
250,"The request was received, but there was a timeout at the payment processor. Possible action: To avoid duplicating the transaction, do not resend the request until you have reviewed the transaction status in the Business Center.",C,
254,"Stand-alone credits are not allowed. Possible action: Submit a follow-on credit by including a request ID in the credit request. A follow-on credit must be requested within 60 days of the authorization. To process stand-alone credits, contact your CyberSource account representative to learn whether your processor supports stand-alone credits.",C,
256,Credit amount exceeds maximum allowed for your CyberSource account. Possible action: Contact CyberSource Customer Support or your acquirer for details.,C,
0,CAVV not validated because erroneous data was submitted.,V,
1,CAVV failed validation and authentication.,V,
2,CAVV passed validation and authentication.,V,
3,CAVV passed the validation attempt.,V,
4,CAVV failed the validation attempt.,V,
6,CAVV not validated because the issuer does not participate.,V,
7,CAVV failed the validation attempt and the issuer is available.,V,
8,CAVV passed the validation attempt and the issuer is available.,V,
9,CAVV failed the validation attempt and the issuer is not available.,V,
A,CAVV passed the validation attempt and the issuer is not available.,V,
B,CAVV passed the validation with information only, no liability shift.,V
C,CAVV attempted but not validated, issuer did not return CAVV code.,V
D,CAVV not validated or authenticated, issuer did not return CAVV code.,V
I,Invalid security data.,V,
U,Issuer does not participate or 3-D secure data was not used.,V,
99, An unknown value was returned from the processor.V
